,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC_8,AUROC_9,error_rate_8,error_rate_9,train_df
30,resnet18_0.1_None_True,resnet18,None,True,0.1,1,0.5,0.6875,0.5,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.931057    0.979898        0.50  0.1875   NaN
1      1    0.978438    0.701036        0.25  0.6250   NaN
2      2    0.781663    0.721689        0.50  0.6250   NaN
3      3    0.869629    1.105924        0.50  0.2500   NaN
4      4    0.794616    1.021768        0.50  0.4375   NaN
5      5    0.770596    1.233374        0.50  0.3750   NaN
6      6    0.744728    1.065969        0.50  0.4375   NaN
7      7    0.737088    1.010880        0.50  0.5000   NaN
8      8    0.687709    0.789449        0.50  0.6875   NaN"
31,resnet18_0.1_None_True,resnet18,None,True,0.1,2,0.4375,0.5625,0.5,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.916339    0.946140       0.625  0.2500   NaN
1      1    0.976094    0.683376       0.375  0.5625   NaN
2      2    0.968818    0.727156       0.500  0.5000   NaN
3      3    0.837001    0.734074       0.250  0.6250   NaN
4      4    0.858170    0.676844       0.500  0.6250   NaN
5      5    0.800716    0.731928       0.625  0.5625   NaN
6      6    0.808122    0.807957       0.500  0.4375   NaN
7      7    0.817225    0.729992       0.500  0.4375   NaN
8      8    0.718711    0.695585       0.375  0.5625   NaN"
32,resnet18_0.1_None_True,resnet18,None,True,0.1,3,0.625,0.6875,0.375,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.011236    0.583231       0.250  0.7500   NaN
1      1    0.965330    0.571336       0.375  0.6250   NaN
2      2    0.968895    0.614172       0.250  0.7500   NaN
3      3    0.809040    0.602826       0.250  0.8125   NaN
4      4    0.737564    0.484426       0.250  0.9375   NaN
5      5    0.637691    0.612245       0.500  0.6875   NaN
6      6    0.626831    0.701767       0.375  0.7500   NaN
7      7    0.624297    0.758261       0.375  0.6250   NaN
8      8    0.653630    0.699862       0.500  0.6875   NaN"
33,resnet18_0.1_None_True,resnet18,None,True,0.1,4,0.5,0.5,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.792909    0.848258       0.500  0.6250   NaN
1      1    0.795020    0.973895       0.250  0.5625   NaN
2      2    0.844641    1.009194       0.625  0.6875   NaN
3      3    0.877998    1.175816       0.500  0.3750   NaN
4      4    0.818257    1.131750       0.625  0.3750   NaN
5      5    0.785547    1.048170       0.625  0.5000   NaN
6      6    0.766699    1.132547       0.625  0.5625   NaN
7      7    0.732257    1.118635       0.625  0.5000   NaN
8      8    0.683327    1.147018       0.625  0.5000   NaN"
34,resnet18_0.1_None_True,resnet18,None,True,0.1,5,0.333333,0.333333,0.571429,0.714286,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.328287    0.702953    0.428571  0.583333   NaN
1      1    1.218151    0.718511    0.428571  0.583333   NaN
2      2    1.006263    1.077552    0.571429  0.416667   NaN
3      3    0.944942    1.354986    0.714286  0.250000   NaN
4      4    0.858970    1.190466    0.714286  0.333333   NaN
5      5    0.775593    1.137327    0.714286  0.500000   NaN
6      6    0.736235    1.139976    0.571429  0.166667   NaN
7      7    0.712340    1.115044    0.571429  0.333333   NaN
8      8    0.675465    1.275931    0.714286  0.333333   NaN"
35,resnet18_0.1_modified_True,resnet18,modified,True,0.1,1,0.6875,0.75,0.375,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.043644    0.589126       0.250  0.8125   NaN
1      1    0.982149    0.463849       0.250  0.8750   NaN
2      2    0.909259    0.560554       0.250  0.7500   NaN
3      3    0.931643    0.722730       0.500  0.6250   NaN
4      4    0.932834    0.710752       0.250  0.6875   NaN
5      5    0.930152    0.782135       0.500  0.6875   NaN
6      6    0.918375    0.617022       0.500  0.7500   NaN
7      7    0.827842    0.707178       0.375  0.6875   NaN
8      8    0.811002    0.644118       0.500  0.7500   NaN"
36,resnet18_0.1_modified_True,resnet18,modified,True,0.1,2,0.3125,0.375,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.023852    0.934054       0.625  0.1250   NaN
1      1    0.910194    1.064468       0.625  0.5000   NaN
2      2    1.049010    1.445504       0.500  0.3750   NaN
3      3    1.046514    1.453732       0.750  0.3125   NaN
4      4    0.972553    1.551959       0.625  0.3125   NaN
5      5    0.913453    1.177612       0.500  0.5000   NaN
6      6    0.909624    1.240127       0.375  0.4375   NaN
7      7    0.872807    1.263142       0.625  0.3125   NaN
8      8    0.832246    1.185196       0.625  0.3750   NaN"
37,resnet18_0.1_modified_True,resnet18,modified,True,0.1,3,0.4375,0.5625,0.625,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.871786    0.923858       0.625  0.3125   NaN
1      1    0.829498    0.875872       0.500  0.5000   NaN
2      2    0.833252    0.664853       0.375  0.5625   NaN
3      3    0.878913    0.732339       0.375  0.5625   NaN
4      4    0.917990    0.806325       0.625  0.3750   NaN
5      5    0.891415    1.009740       0.750  0.3750   NaN
6      6    0.917971    0.804531       0.500  0.4375   NaN
7      7    0.896727    0.848773       0.625  0.4375   NaN
8      8    0.829765    0.862506       0.500  0.5625   NaN"
38,resnet18_0.1_modified_True,resnet18,modified,True,0.1,4,0.0625,0.125,0.75,0.75,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.863853    0.744138       0.625  0.4375   NaN
1      1    0.911800    0.921176       0.500  0.3750   NaN
2      2    0.887865    1.368948       0.625  0.2500   NaN
3      3    0.783886    1.263609       0.625  0.2500   NaN
4      4    0.763353    1.388656       0.750  0.0625   NaN
5      5    0.668311    1.615692       0.750  0.1250   NaN
6      6    0.829546    1.681949       0.875  0.0625   NaN
7      7    0.748866    1.808015       0.750  0.0625   NaN
8      8    0.758919    1.599129       0.750  0.1250   NaN"
39,resnet18_0.1_modified_True,resnet18,modified,True,0.1,5,0.5,0.416667,0.428571,0.571429,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.821081    0.765177    0.428571  0.500000   NaN
1      1    0.827772    0.800329    0.571429  0.166667   NaN
2      2    0.753206    0.816532    0.571429  0.500000   NaN
3      3    0.713176    0.737146    0.285714  0.666667   NaN
4      4    0.778674    0.938089    0.285714  0.583333   NaN
5      5    0.844928    0.874583    0.428571  0.500000   NaN
6      6    0.849629    0.794967    0.285714  0.500000   NaN
7      7    0.846683    0.793171    0.428571  0.500000   NaN
8      8    0.895673    0.832538    0.571429  0.416667   NaN"
