,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC_8,AUROC_9,error_rate_8,error_rate_9
30,resnet18_0.01_none_False,resnet18,none,False,0.01,31,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.898862    0.983543        0.65   0.35   NaN
1      1    0.822796    0.952285        0.65   0.47   NaN
2      2    0.870735    1.190221        0.60   0.26   NaN
3      3    0.839703    1.096500        0.70   0.41   NaN
4      4    0.723147    0.966030        0.60   0.46   NaN
5      5    0.768731    0.992138        0.50   0.46   NaN
6      6    0.758325    1.078805        0.50   0.46   NaN
7      7    0.759524    1.049074        0.55   0.40   NaN
8      8    0.738709    0.970090        0.60   0.35   NaN",0.4,0.35,0.55,0.6
31,resnet18_0.01_none_False,resnet18,none,False,0.01,32,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.000919    0.773722        0.35   0.55   NaN
1      1    0.990255    0.611272        0.30   0.76   NaN
2      2    0.878046    0.851501        0.55   0.51   NaN
3      3    0.814363    0.727519        0.45   0.68   NaN
4      4    0.840104    0.787337        0.40   0.72   NaN
5      5    0.850124    0.744584        0.35   0.66   NaN
6      6    0.743486    0.730214        0.40   0.72   NaN
7      7    0.732720    0.756671        0.35   0.67   NaN
8      8    0.689168    0.752379        0.40   0.68   NaN",0.67,0.68,0.35,0.4
32,resnet18_0.01_none_False,resnet18,none,False,0.01,33,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.038380    0.874361    0.500000  0.469136   NaN
1      1    0.801012    0.904154    0.500000  0.444444   NaN
2      2    0.828314    0.799732    0.500000  0.432099   NaN
3      3    0.804509    1.046441    0.666667  0.419753   NaN
4      4    0.753543    1.153772    0.555556  0.469136   NaN
5      5    0.803601    1.083806    0.500000  0.530864   NaN
6      6    0.815999    0.823904    0.500000  0.481481   NaN
7      7    0.741331    0.822663    0.611111  0.543210   NaN
8      8    0.698603    0.870248    0.500000  0.481481   NaN",0.5432100000000001,0.48148100000000005,0.611111,0.5
33,resnet18_0.01_none_False,resnet18,none,False,0.01,34,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.923447    0.859249    0.555556  0.444444   NaN
1      1    0.953068    1.393023    0.500000  0.271605   NaN
2      2    0.801074    1.625332    0.611111  0.308642   NaN
3      3    0.825730    1.473613    0.611111  0.234568   NaN
4      4    0.849176    1.452140    0.666667  0.308642   NaN
5      5    0.824700    1.211174    0.611111  0.259259   NaN
6      6    0.769951    1.318111    0.611111  0.333333   NaN
7      7    0.743639    1.203059    0.611111  0.358025   NaN
8      8    0.783245    1.298163    0.611111  0.320988   NaN",0.358025,0.320988,0.611111,0.611111
34,resnet18_0.01_none_False,resnet18,none,False,0.01,35,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.005993    0.957709    0.722222  0.345679   NaN
1      1    0.860816    0.980745    0.388889  0.604938   NaN
2      2    0.950176    0.722986    0.388889  0.666667   NaN
3      3    0.852879    0.725599    0.444444  0.641975   NaN
4      4    0.905869    0.670793    0.277778  0.716049   NaN
5      5    0.825189    0.643566    0.333333  0.740741   NaN
6      6    0.817344    0.670246    0.388889  0.691358   NaN
7      7    0.776511    0.605237    0.388889  0.716049   NaN
8      8    0.686993    0.589667    0.388889  0.802469   NaN",0.7160489999999999,0.802469,0.388889,0.388889
35,resnet18_0.01_none_False,resnet18,none,False,0.01,36,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.898232    0.882200        0.50   0.43   NaN
1      1    0.928823    0.952427        0.50   0.46   NaN
2      2    0.929848    1.091965        0.55   0.37   NaN
3      3    0.859645    0.905323        0.50   0.59   NaN
4      4    0.866362    1.090424        0.50   0.38   NaN
5      5    0.796772    0.937638        0.40   0.48   NaN
6      6    0.757724    0.893697        0.55   0.54   NaN
7      7    0.774783    0.947134        0.50   0.50   NaN
8      8    0.777740    0.980805        0.50   0.52   NaN",0.5,0.52,0.5,0.5
36,resnet18_0.01_none_False,resnet18,none,False,0.01,37,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.930032    0.716400        0.40   0.58   NaN
1      1    0.896437    0.996642        0.60   0.42   NaN
2      2    0.854468    0.965462        0.40   0.59   NaN
3      3    0.838945    0.875038        0.40   0.54   NaN
4      4    0.743247    0.919014        0.35   0.47   NaN
5      5    0.798875    1.047141        0.50   0.44   NaN
6      6    0.783676    1.022793        0.45   0.48   NaN
7      7    0.717053    1.075803        0.40   0.47   NaN
8      8    0.876598    0.879876        0.50   0.50   NaN",0.47,0.5,0.4,0.5
37,resnet18_0.01_none_False,resnet18,none,False,0.01,38,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.914007    0.753957    0.444444  0.530864   NaN
1      1    0.887399    0.926858    0.777778  0.333333   NaN
2      2    0.876037    0.898208    0.444444  0.592593   NaN
3      3    0.873938    0.935592    0.555556  0.407407   NaN
4      4    0.922684    0.819688    0.388889  0.592593   NaN
5      5    0.756684    0.797731    0.388889  0.567901   NaN
6      6    0.799856    0.763777    0.500000  0.567901   NaN
7      7    0.815422    0.734172    0.444444  0.543210   NaN
8      8    0.860837    0.808792    0.444444  0.456790   NaN",0.5432100000000001,0.45679,0.44444399999999995,0.44444399999999995
38,resnet18_0.01_none_False,resnet18,none,False,0.01,39,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.963651    0.578432    0.333333  0.777778   NaN
1      1    0.865573    0.933969    0.611111  0.432099   NaN
2      2    0.914044    0.953419    0.444444  0.481481   NaN
3      3    0.878313    1.228311    0.555556  0.234568   NaN
4      4    0.758791    0.977973    0.666667  0.358025   NaN
5      5    0.766697    0.940710    0.444444  0.481481   NaN
6      6    0.780498    0.850274    0.500000  0.518519   NaN
7      7    0.757825    0.736757    0.333333  0.617284   NaN
8      8    0.756174    0.857678    0.388889  0.580247   NaN",0.617284,0.5802470000000001,0.333333,0.388889
39,resnet18_0.01_none_False,resnet18,none,False,0.01,40,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.037664    0.957121    0.444444  0.358025   NaN
1      1    0.934579    0.723615    0.444444  0.567901   NaN
2      2    0.847527    0.782212    0.388889  0.629630   NaN
3      3    0.832485    0.677785    0.222222  0.728395   NaN
4      4    0.851994    0.672963    0.444444  0.703704   NaN
5      5    0.893088    0.552329    0.333333  0.790123   NaN
6      6    0.840190    0.595630    0.333333  0.790123   NaN
7      7    0.793566    0.542913    0.277778  0.814815   NaN
8      8    0.745764    0.587262    0.333333  0.765432   NaN",0.814815,0.765432,0.277778,0.333333
