,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,error_rate,train_df
34,resnet18_0.01_0.1_modified_True,resnet18,modified,true,0.01,5,0.518519,0.611111,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.534462    1.793092    0.388889  0.592593   NaN
1      1    6.491341   31.154337    0.555556  0.493827   NaN
2      2   14.296332   12.076013    0.388889  0.555556   NaN
3      3   19.743570   12.429710    0.500000  0.506173   NaN
4      4   20.987534   18.041698    0.555556  0.679012   NaN
5      5   16.709349   28.912153    0.388889  0.592593   NaN
6      6   15.231775  288.247070    0.611111  0.518519   NaN"
35,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,1,0.365,0.55,"   epoch  train_loss     valid_loss  error_rate  AUROC  time
0      0    5.064909     138.811340        0.50  0.500   NaN
1      1   21.997562   15250.710938        0.50  0.500   NaN
2      2  120.798912    5847.560547        0.50  0.500   NaN
3      3  208.044739   14838.216797        0.50  0.500   NaN
4      4  221.624420    1074.651123        0.35  0.650   NaN
5      5  167.946213   12530.930664        0.35  0.735   NaN
6      6  138.655472  439999.906250        0.55  0.365   NaN"
36,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,2,0.415,0.65,"   epoch  train_loss   valid_loss  error_rate  AUROC  time
0      0    3.195065   107.119583        0.50  0.500   NaN
1      1   45.832264  1461.036133        0.50  0.500   NaN
2      2  123.685577   239.262695        0.50  0.500   NaN
3      3  153.472549   291.324799        0.50  0.500   NaN
4      4  142.021744  2080.609375        0.50  0.500   NaN
5      5  122.024033  1917.478760        0.65  0.295   NaN
6      6  116.600006   120.588966        0.65  0.415   NaN"
37,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,3,0.277778,0.555556,"   epoch  train_loss     valid_loss  error_rate     AUROC  time
0      0    4.107260      40.311687    0.444444  0.629630   NaN
1      1   52.094563      45.887192    0.500000  0.530864   NaN
2      2  138.856705      79.713486    0.611111  0.432099   NaN
3      3  179.151260  149950.328125    0.500000  0.500000   NaN
4      4  173.323395   27234.527344    0.555556  0.444444   NaN
5      5  140.713577      48.185966    0.444444  0.728395   NaN
6      6  122.201393      94.416534    0.555556  0.277778   NaN"
38,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,4,0.567901,0.388889,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    3.852084    160.674072    0.500000  0.500000   NaN
1      1   45.698837  16075.513672    0.500000  0.500000   NaN
2      2  144.615173    414.015045    0.500000  0.500000   NaN
3      3  188.645447    860.746399    0.555556  0.388889   NaN
4      4  140.693817    202.918289    0.555556  0.444444   NaN
5      5  124.291924    253.470779    0.555556  0.425926   NaN
6      6  100.384743     34.464676    0.388889  0.567901   NaN"
39,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,5,0.333333,0.666667,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    4.025784     99.514389    0.500000  0.500000   NaN
1      1   29.450594    499.179688    0.444444  0.537037   NaN
2      2  102.600090  23135.994141    0.333333  0.666667   NaN
3      3  193.386520    407.762329    0.500000  0.500000   NaN
4      4  190.479248     81.643967    0.388889  0.580247   NaN
5      5  143.329483  16605.675781    0.500000  0.500000   NaN
6      6  115.805832  82256.875000    0.666667  0.333333   NaN"
40,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,1,0.52,0.5,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.954217    0.987332        0.45   0.55   NaN
1      1    1.040342    1.305542        0.55   0.46   NaN
2      2    1.241289    1.566803        0.55   0.33   NaN
3      3    1.322222    1.718909        0.50   0.46   NaN
4      4    1.322702    0.916985        0.30   0.69   NaN
5      5    1.367834    1.346143        0.50   0.54   NaN
6      6    1.140944    0.990333        0.40   0.64   NaN
7      7    1.227826    1.098152        0.55   0.54   NaN
8      8    1.213425    1.143075        0.50   0.52   NaN"
41,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,2,0.55,0.45,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.019572    1.004885        0.60   0.35   NaN
1      1    0.967652    1.068145        0.45   0.58   NaN
2      2    1.064023    1.268137        0.50   0.58   NaN
3      3    1.235237    3.402696        0.50   0.44   NaN
4      4    1.301698    1.134399        0.45   0.63   NaN
5      5    1.261396    0.967942        0.45   0.51   NaN
6      6    1.176610    0.757572        0.45   0.59   NaN
7      7    1.020481    0.764100        0.55   0.50   NaN
8      8    1.060922    0.762091        0.45   0.55   NaN"
42,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,3,0.802469,0.388889,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.956112    0.722616    0.500000  0.567901   NaN
1      1    1.067697    1.131538    0.444444  0.604938   NaN
2      2    1.230865    0.991555    0.388889  0.592593   NaN
3      3    1.224488    5.999079    0.500000  0.166667   NaN
4      4    1.456841    1.649215    0.555556  0.444444   NaN
5      5    1.471434    1.234932    0.500000  0.493827   NaN
6      6    1.279917    1.186082    0.333333  0.530864   NaN
7      7    1.215261    0.903225    0.444444  0.790123   NaN
8      8    1.215771    0.821157    0.388889  0.802469   NaN"
43,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,4,0.44444399999999995,0.5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.973186    1.290447    0.555556  0.419753   NaN
1      1    0.898808    0.832641    0.500000  0.493827   NaN
2      2    1.112505    1.908197    0.611111  0.271605   NaN
3      3    1.278567    2.211720    0.444444  0.444444   NaN
4      4    1.388202    1.383216    0.555556  0.382716   NaN
5      5    1.364671    0.859425    0.444444  0.716049   NaN
6      6    1.294892    1.254391    0.500000  0.407407   NaN
7      7    1.409946    1.416357    0.500000  0.345679   NaN
8      8    1.370608    1.151187    0.500000  0.444444   NaN"
44,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,5,0.419753,0.555556,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.882617    1.192113    0.500000  0.530864   NaN
1      1    0.917475    1.020522    0.444444  0.580247   NaN
2      2    0.944787    1.810293    0.388889  0.530864   NaN
3      3    1.274541    1.516031    0.611111  0.456790   NaN
4      4    1.460905    1.890708    0.611111  0.382716   NaN
5      5    1.449933    1.497980    0.500000  0.432099   NaN
6      6    1.403723    0.950601    0.555556  0.493827   NaN
7      7    1.241707    1.009628    0.555556  0.456790   NaN
8      8    1.412179    0.997156    0.555556  0.419753   NaN"
45,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,1,0.65,0.4,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.102793    1.834747        0.55  0.560   NaN
1      1    1.311330    1.556587        0.45  0.460   NaN
2      2    2.588997    5.684178        0.50  0.620   NaN
3      3    3.342294    7.134898        0.50  0.275   NaN
4      4    3.452549    4.877385        0.65  0.200   NaN
5      5    3.151759   20.564804        0.60  0.430   NaN
6      6    2.954887   12.443945        0.60  0.470   NaN
7      7    2.878568    8.617824        0.45  0.650   NaN
8      8    2.517680   19.475714        0.40  0.650   NaN"
